Germany,Germany_new
16,0
16,0
17,1
27,10
46,19
48,2
79,31
130,51
159,29
196,37
262,66
482,220
670,188
799,129
1040,241
1176,136
1457,281
1908,451
2078,170
3675,1597
4585,910
5795,1210
7272,1477
9257,1985
12327,3070
15320,2993
19848,4528
22213,2365
24873,2660
29056,4183
32986,3930
37323,4337
43938,6615
50871,6933
57695,6824
62095,4400
66885,4790
71808,4923
77872,6064
84794,6922
91159,6365
96092,4933
100123,4031
103374,3251
107663,4289
113296,5633
118181,4885
122171,3990
124908,2737
127854,2946
130072,2218
131359,1287
134753,3394
137698,2945
141397,3699
143342,1945
145184,1842
147065,1881
148291,1226