Spain,Spain_new
1,0
6,4
13,7
15,2
32,17
45,13
84,39
120,36
165,45
222,57
259,37
400,141
500,100
673,173
1073,400
1695,622
2277,582
5232,2955
6391,1159
7798,1407
9942,2144
11748,1806
13910,2162
17963,4053
20410,2447
25374,4964
28768,3394
35136,6368
39885,4749
49515,9630
57786,8271
65719,7933
73235,7516
80110,6875
87956,7846
95923,7967
104118,8195
112065,7947
119199,7134
126168,6969
131646,5478
136675,5029
141942,5267
148220,6278
153222,5002
158273,5051
163027,4754
166831,3804
170099,3268
172541,2442
177644,5103
184948,7304
190839,5891
191726,887
198674,6948
200210,1536
204178,3968